[00:01:33] 咕咕: 124zp
[01:06:04] 不吃桃子: [CQ:image,file=DB92A52A74F87CE3D25D13DED99B5BB8.png,subType=0,url=https://multimedia.nt.qq.com.cn/download?appid=1407&amp;fileid=EhSWeD1UDkk0Ub_m8AFmJ2pDrTaJYRiuxi8g_woo_qe6qMmSkAMyBHByb2RQgL2jAVoQ4G6COXKSxlvcYbH2g-1q-3oCpoaCAQJneg&amp;spec=0&amp;rkey=CAESMEriY_-8kQG_wSKudul1DiEVuV9rzvJTJhlRGHRtf2_IhYd14fi0BbqDy7NXGUcdXg,file_size=779054]196ys
[01:06:04] Liu。大人: 把他踢了
[01:06:50] 不吃桃子: 197ys
[01:09:04] kido: 171ya
[01:12:50] Soleil: 152崖
[01:14:14] 霸、、、霸王洗发水: 195y
[01:15:35] hh。: 141ys
[01:15:39] 不吃桃子: 57ya[CQ:image,file=809FBE4FE3ADE99C740CE2AFC92FB2AC.png,subType=0,url=https://multimedia.nt.qq.com.cn/download?appid=1407&amp;fileid=EhSIfypscTTUBliJj0G9YEIkweMTSBioimkg_woondKvucuSkAMyBHByb2RQgL2jAVoQpNfJgFBiUdOzZxYcJ2HnPXoCJASCAQJneg&amp;spec=0&amp;rkey=CAESMEriY_-8kQG_wSKudul1DiEVuV9rzvJTJhlRGHRtf2_IhYd14fi0BbqDy7NXGUcdXg,file_size=1721640]
[01:15:56] 辰霓: 45y
[01:15:56] ______Vincent.: 飞走了 141ys-
[01:19:07] 不吃桃子: [CQ:image,file=334F8BE80EE91BC4F6678C2F4670A15F.png,subType=0,url=https://multimedia.nt.qq.com.cn/download?appid=1407&amp;fileid=EhRbsY-UCtdDYR7VsiYrgaFfaNO-xxjY-lYg_woo7JXznMySkAMyBHByb2RQgL2jAVoQGO4D6Lt6ki3gZejNk6TljHoCXXCCAQJneg&amp;spec=0&amp;rkey=CAESMEriY_-8kQG_wSKudul1DiEVuV9rzvJTJhlRGHRtf2_IhYd14fi0BbqDy7NXGUcdXg,file_size=1424728]50右
[01:21:12] 霸、、、霸王洗发水: 181yz
[01:21:36] 水镜: 177ka
[01:22:49] 不吃桃子: [CQ:image,file=E54AE6B86E25444CA55BBD3C67BB15F0.png,subType=0,url=https://multimedia.nt.qq.com.cn/download?appid=1407&amp;fileid=EhRP5QX-WgYIKuQeDpYFvMexRDzZiRjpqJwBIP8KKMjl44bNkpADMgRwcm9kUIC9owFaEGPxtN2kCBRIpxzx59XpK-x6AlojggECZ3o&amp;spec=0&amp;rkey=CAESMEriY_-8kQG_wSKudul1DiEVuV9rzvJTJhlRGHRtf2_IhYd14fi0BbqDy7NXGUcdXg,file_size=2561129]24ys
[01:26:20] 瞳: 189ys
[01:27:09] 水镜: 88右
[01:27:58] kido: 92yz
[01:31:05] M̶r̶.̶J̶a̶v̶s̶e̶n̶: 58ys
[01:31:07] 丶: 1zp
[01:32:09] 水镜: 100ys
[01:34:11] 不吃桃子: [CQ:image,file=627EE1198BFFE31D51EB30CA0561E050.jpg,subType=1,url=https://multimedia.nt.qq.com.cn/download?appid=1407&amp;fileid=EhQEZ4uc1xL09rqXKAQZVg9PbM_4yhiWwB4g_wooyJjbzs-SkAMyBHByb2RQgL2jAVoQS50y6Qb8wmDJC8HFnOsNS3oCetOCAQJneg&amp;spec=0&amp;rkey=CAESMEriY_-8kQG_wSKudul1DiEVuV9rzvJTJhlRGHRtf2_IhYd14fi0BbqDy7NXGUcdXg,file_size=499734]47z
[01:36:33] 木子李: 65左
[01:36:37] 瞳: 90z
[01:39:01] hh。: 86ya
[01:41:06] 瞳: 93ys
[01:42:10] 冬筱: 179ys
[01:42:10] hh。: 93ys
[01:44:44] Silver♢: 104麦
[01:46:22] Soleil: 41崖
[01:46:50] 苦命鹦鹉: 19崖
[01:50:42] : 75左
[01:50:42] ❄️: 自从刷上金猪每天睡觉不超过7小时
[01:51:26] 水镜: 155ys
[01:51:51] Soleil: 75左 155-23ys
[01:54:41] Soleil: 63右
[01:56:52] 冬筱: 103z
[01:58:36] Soleil: 136ys
[01:59:14] Soleil: 136ys 34右
[02:01:38] Soleil: 56卡
[02:01:38] 卤蛋: 方舟佬晚安
[02:01:38] 月影萧梦: ？
[02:02:40] 水镜: 132YZ
[02:04:33] 人間になりたい: 158Z
[02:06:45] 南北: 74m
[02:09:20] xx: 110y
[02:10:25] ﹉: 74m
[02:11:58] Chlorine: 128z
[02:13:29] SakuraNeko: 29左
[02:20:13] Soleil: 30右
[02:22:18] Soleil: 42ys
[02:24:29] xx: 60y
[02:28:21] xx: 17zp
[02:28:21] 3W_AwayOne: 二群估计就我没有金猪
[02:28:50] 水镜: 142m
[02:31:35] 苦命鹦鹉: 73麦
[02:33:18] Soleil: 138-127-22卡
[02:42:21] : 137z
[02:42:22] 纸月: 很懂了
[02:43:40] Soleil: 72ys
[02:48:14] xx: 123zp
[03:03:35] 毛卡DuD: 111yz
[03:15:04] 毛卡DuD: 78m
[03:22:09] xx: 94z
[03:29:32] 乐意: 180ys
[03:42:20] 乐意: 114ys
[04:04:43] 乐意: 174卡
[04:18:10] 乐意: 87ys
[04:25:57] 乐意: 170m
[04:30:22] 毛卡DuD: 148卡
[04:40:40] 乐意: 53z
[04:51:34] ‭: 79卡
[04:51:42] 乐意: 36yz
[05:02:59] 【Φόβος】: 32y
[05:03:01] 乐意: 32右
[05:56:14] 【Φόβος】: 64yz
[14:53:21] 冬筱: 44z
[15:04:52] 镜花水月: 43zp
[16:04:05] 狐: 199原神
[16:08:37] y: 48卡
[17:25:13] 木子李: 183崖
[17:25:28] 镜花水月: 178zp
[17:27:05] : 122崖[CQ:image,file=6F857E127474257BD07F370B581AE632.png,subType=0,url=https://multimedia.nt.qq.com.cn/download?appid=1407&amp;fileid=EhTQF6KPcSujQXJSjc1QKgFIGf1E4hjGpyog_woopvP5zKSUkAMyBHByb2RQgL2jAVoQ9N6bl0A5HS6NHg6uIEy8ZXoCknqCAQJneg&amp;spec=0&amp;rkey=CAISMBQH7nZdXxgri5rgANwAlWyhvJ3ggMGdP_-HlX9DFW4QD5s-2AixVc0NVGgtLNu0zw,file_size=693190]
[17:30:12] Soleil: 168卡
[17:42:18] 莫染: [CQ:image,file=AA703FB0D084F359F4A879F0B0C30E2D.png,subType=0,url=https://multimedia.nt.qq.com.cn/download?appid=1407&amp;fileid=EhT35d1wnMJ45iapAocQWlKZfw3mDRi_nzgg_woonorXgKiUkAMyBHByb2RQgL2jAVoQLdQLHOcTEpGEtXYqpgsQonoCrDCCAQJneg&amp;spec=0&amp;rkey=CAISMBQH7nZdXxgri5rgANwAlWyhvJ3ggMGdP_-HlX9DFW4QD5s-2AixVc0NVGgtLNu0zw,file_size=921535]159崖
[17:46:55] 想要莉莉丝: 7驿站
[17:46:55] 白玉团子: [CQ:image,file=B9A7820AC9672EEF0EB6729723C2BB1B.jpg,subType=1,url=https://multimedia.nt.qq.com.cn/download?appid=1407&amp;fileid=EhRoioEION2IadM_CbdG99cKG0Dv8Bj9vjAg_wooq8rlhKmUkAMyBHByb2RQgL2jAVoQd0SGJbl4ooqT6-ETGOqeSXoCbbiCAQJuag&amp;spec=0&amp;rkey=CAISMBQH7nZdXxgri5rgANwAlWyhvJ3ggMGdP_-HlX9DFW4QD5s-2AixVc0NVGgtLNu0zw,file_size=794493]
[17:50:46] 莫染: 115ys[CQ:image,file=4AE1DC1697FB179ABBF6C9FD9F5AD9B6.png,subType=0,url=https://multimedia.nt.qq.com.cn/download?appid=1407&amp;fileid=EhTrwDjnVqtng7KaHDk6MkffXE1qgBi_9Ggg_wookK7Z8qmUkAMyBHByb2RQgL2jAVoQbmRxkqDqpDJ0h4Gjrihda3oCEqSCAQJneg&amp;spec=0&amp;rkey=CAISMBQH7nZdXxgri5rgANwAlWyhvJ3ggMGdP_-HlX9DFW4QD5s-2AixVc0NVGgtLNu0zw,file_size=1718847]
[18:11:02] Soleil: 117卡
[18:12:58] 镜花水月: 40m
[18:15:09] Shaddoll_Naga: 130zp
[18:20:28] 莫染: 89右
[18:28:52] 不断打破不出门记录: 191ys
[18:42:05] Soleil: 91驿站
[18:59:21] Soleil: 95ys
[19:02:27] 乐意: 146zp
[19:09:48] 苦命鹦鹉: 26崖
[19:14:06] M̶r̶.̶J̶a̶v̶s̶e̶n̶: 182y
[19:19:04] : 83右
[19:27:57] : 116zp
[19:29:25] kido: 147右
[19:38:34] 蟑螂恶霸: 135y
[19:40:55] 蟑螂恶霸: 134y
[19:42:56] Soleil: 120驿站
[19:49:31] sana: 11zp
[19:59:00] ______Vincent.: 162卡
[20:02:56] Soleil: 51m
[20:05:30] ______Vincent.: 150y
[20:13:39] kido: 12ys
[20:15:24] hh。: 66yz
[20:19:52] Soleil: 113卡
[20:19:53] 纸月: 挺少的
[20:19:53] : 不知道
[20:32:43] hh。: 13ya
[20:37:58] hh。: 77右
[20:40:21] 星野渚: 98右
[20:45:19] y: 55帐篷
[20:54:33] Soleil: 102yz
[20:58:29] Shaddoll_Naga: 154m
[21:02:04] : 69ys
[21:05:39] ‭: 187zp
[21:08:26] ‭: 18zp
[21:10:08] y: 33崖
[21:13:41] Shaddoll_Naga: 106m
[21:18:42] y: 46驿站
[21:23:58] .: 153y
[21:30:33] y: 68左
[21:30:36] 乐意: 61右
[21:33:55] 莫染: 2ys
[21:37:15] sana: 176右
[21:41:56] ______Vincent.: 144zp
[21:44:39] .: 70zp
[21:47:16] hh。: 160z
[21:51:59] hh。: 166z
[21:55:24] y: 80崖
[22:00:34] Shaddoll_Naga: 184zp
[22:04:11] 十六夜之月: 67zp
[22:04:33] 莫染: 149zp
[22:05:31] hh。: 149-177zp
[22:07:04] 十六夜之月: 85zp
[22:08:48] Soleil: 141卡
[22:09:47] hh。: 8ya
[22:14:01] 丶: 173z
[22:15:19] hh。: 151m
[22:17:57] 十六夜之月: 143zp
[22:21:50] ______Vincent.: 107yz
[22:24:25] hh。: 49yz
[22:27:50] 莫染: 86yz
[22:27:50] 卤蛋: 方舟佬先出
[22:29:40] kirakiradokidoki: 139崖
[22:34:22] ______Vincent.: 99z
[22:35:08] Shaddoll_Naga: 99z-193卡
[22:38:17] : 31右
[22:39:23] hh。: 31右-59右上
[22:39:26] : 118ya
[22:41:35] 月影萧梦: 97yz-10卡
[22:42:31] 狐狸要乖: 6yz
[22:50:03] 十六夜之月: 35yz
[22:50:46] ‭: 197zp
[22:54:09] 叶: 35yz s
[22:55:47] 南北: 192z
[22:57:06] y: 133卡
[23:04:54] 南北: 169z
[23:07:31] 晗子: 23zp
[23:07:31] : [CQ:image,file=68812EA6F421128721AEED5E12491FE0.png,subType=0,url=https://multimedia.nt.qq.com.cn/download?appid=1407&amp;fileid=EhRdKR0wamp9pp1KlIgEci3VCckIGhjIjxsg_wootu3k2PCUkAMyBHByb2RQgL2jAVoQ1eMSko2zzKnNM0GJaj0uoXoCU_OCAQJneg&amp;spec=0&amp;rkey=CAESMHe6hjHMoqE6GJ2FDhwNS2LjUYEhLadTFIyroYKd1pNwpx3v1flBRsl_NSnlTxNvzA,file_size=444360]
[23:12:27] sana: 165z
[23:16:26] hh。: 28z
[23:17:11] 晗子: 65 zp
[23:17:47] hh。: 165z-65zp
[23:22:17] M̶r̶.̶J̶a̶v̶s̶e̶n̶: 142y
[23:23:20] hh。: 142ys
[23:23:21] 木工米青: 每次我传过去都看到一群人。。。猪没了
[23:23:21] ‭: [CQ:mface,summary=&#91;猫咪头槌&#93;,url=https://gxh.vip.qq.com/club/item/parcel/item/ef/ef573ceea0df132d8ad5d38f43a5c97f/raw300.gif,emoji_id=ef573ceea0df132d8ad5d38f43a5c97f,emoji_package_id=243818,key=2da5df00b347b642]
[23:23:21] 烧火棍，樱花糕与铁桶僵尸: [CQ:image,file=C507D8B4B0CE01544BAB19925CF0C035.jpg,subType=1,url=https://multimedia.nt.qq.com.cn/download?appid=1407&amp;fileid=EhTnPqhDta8qAAZ-d6StgUDwfXAzixjmqAIg_woojY6JnvSUkAMyBHByb2RQgL2jAVoQmVci9UmcbCzE7bTJJbevGXoComqCAQJuag&amp;spec=0&amp;rkey=CAESMHe6hjHMoqE6GJ2FDhwNS2LjUYEhLadTFIyroYKd1pNwpx3v1flBRsl_NSnlTxNvzA,file_size=37990]
[23:25:52] 十六夜之月: 24ya
[23:29:38] Soleil: 9左
[23:31:45] 木工米青: 81左上
[23:34:49] hh。: 167z
[23:36:37] Soleil: 58卡
[23:38:23] hh。: 126z
[23:39:02] 今天也睡不着觉: 39m
[23:39:02] ‭: [CQ:image,file=592C1BA7DB8D0211A5A3343FBBDE0BC4.jpg,subType=1,url=https://multimedia.nt.qq.com.cn/download?appid=1407&amp;fileid=EhSSDGgZezvlFe7-qEXwEtOUMCWpwRi-72Eg_woo89eD3_eUkAMyBHByb2RQgL2jAVoQRzz06xX95V2Mvt3YSz7NjXoC24yCAQJneg&amp;spec=0&amp;rkey=CAESMHe6hjHMoqE6GJ2FDhwNS2LjUYEhLadTFIyroYKd1pNwpx3v1flBRsl_NSnlTxNvzA,file_size=1603518]
[23:39:14] 不吃桃子: 16ya
[23:43:50] 不吃桃子: 121右
[23:44:22] 今天也睡不着觉: 156m
[23:44:29] 晗子: 121右-179m
[23:47:08] 東方'の伏特加: 88右
[23:49:41] 花落方知惜♡: 38右
[23:51:36] 空花: 37右
[23:54:08] y: 52麦
[23:56:20] 不吃桃子: 4yz
[23:58:32] 東方'の伏特加: 128右
